
Recapitulatif de mes puissances atteintes en W

Date et heure de releve par le distributeur;Puissance atteinte (W);Nature de la donnee
22:00:00;876;Reelle
21:30:00;398;Reelle
21:00:00;394;Reelle
20:30:00;394;Reelle
20:00:00;572;Reelle
19:30:00;590;Reelle
19:00:00;502;Reelle
18:30:00;780;Reelle
18:00:00;822;Reelle
17:30:00;1168;Reelle
17:00:00;1006;Reelle
16:30:00;118;Reelle
16:00:00;462;Reelle
15:30:00;1178;Reelle
15:00:00;1522;Reelle
14:30:00;272;Reelle
14:00:00;0;Reelle
13:30:00;14;Reelle
13:00:00;860;Reelle
12:30:00;118;Reelle
12:00:00;738;Reelle
11:30:00;320;Reelle
11:00:00;314;Reelle
10:30:00;362;Reelle
10:00:00;400;Reelle
09:30:00;434;Reelle
09:00:00;426;Reelle
08:30:00;656;Reelle
08:00:00;972;Reelle
07:30:00;970;Reelle
07:00:00;404;Reelle
06:30:00;368;Reelle
06:00:00;348;Reelle
05:30:00;334;Reelle
05:00:00;346;Reelle
04:30:00;324;Reelle
04:00:00;770;Reelle
03:30:00;1984;Reelle
03:00:00;1678;Reelle
02:30:00;2310;Reelle
02:00:00;378;Reelle
01:30:00;322;Reelle
01:00:00;344;Reelle
00:30:00;326;Reelle

24/04/2022;;
00:00:00;374;Reelle
00:00:00;374;Reelle
23:30:00;438;Reelle
23:30:00;438;Reelle
23:00:00;682;Reelle
23:00:00;682;Reelle
22:30:00;946;Reelle
22:30:00;946;Reelle
22:00:00;838;Reelle
22:00:00;838;Reelle
21:30:00;52;Reelle
21:30:00;52;Reelle
21:00:00;44;Reelle
21:00:00;44;Reelle
20:30:00;42;Reelle
20:30:00;42;Reelle
20:00:00;20;Reelle
20:00:00;20;Reelle
19:30:00;0;Reelle
19:30:00;0;Reelle
19:00:00;0;Reelle
19:00:00;0;Reelle
18:30:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
18:00:00;0;Reelle
17:30:00;56;Reelle
17:30:00;56;Reelle
17:00:00;0;Reelle
17:00:00;0;Reelle
16:30:00;652;Reelle
16:30:00;652;Reelle
16:00:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:30:00;0;Reelle
15:00:00;32;Reelle
15:00:00;32;Reelle
14:30:00;0;Reelle
14:30:00;0;Reelle
14:00:00;0;Reelle
14:00:00;0;Reelle
13:30:00;0;Reelle
13:30:00;0;Reelle
13:00:00;0;Reelle
13:00:00;0;Reelle
12:30:00;0;Reelle
12:30:00;0;Reelle
12:00:00;0;Reelle
12:00:00;0;Reelle
11:30:00;166;Reelle
11:30:00;166;Reelle
11:00:00;362;Reelle
11:00:00;362;Reelle
10:30:00;400;Reelle
10:30:00;400;Reelle
10:00:00;456;Reelle
10:00:00;456;Reelle
09:30:00;674;Reelle
09:30:00;674;Reelle
09:00:00;618;Reelle
09:00:00;618;Reelle
08:30:00;646;Reelle
08:30:00;646;Reelle
08:00:00;376;Reelle
08:00:00;376;Reelle
07:30:00;474;Reelle
07:30:00;474;Reelle
07:00:00;358;Reelle
07:00:00;358;Reelle
06:30:00;398;Reelle
06:30:00;398;Reelle
